Data_Hora,Relatorio,Arquivo_Exportado,Usuario
2026-03-01 19:06:43,Relatório ANS - Operadoras (Base Total),teste.xlsx,LeandroOrnelas
2026-03-01 19:07:48,Relatório ANS - Operadoras (Base Total),teste.xlsx,LeandroOrnelas
